Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2023,MZO,Karamoja,Abim,22,6,28,439,259,698,212,204,416,83,79,162,74,78,152,13,8,21,843,634,1477,830,626,1456,756,548,1304,91.08%,87.54%,89.56%,673,469,1142,81.08%,74.92%,78.43%,2.65%,0.96%,1.92%,9.40%,12.46%,10.44%,1.54%,1.26%,1.42%
2024,Other,Teso,Amuria,21,21,42,656,562,1218,532,641,1173,305,252,557,279,422,701,16,15,31,1809,1913,3722,1793,1898,3691,1514,1476,2990,84.44%,77.77%,81.01%,1209,1224,2433,67.43%,64.49%,65.92%,1.17%,1.11%,1.14%,23.54%,22.23%,18.99%,0.88%,0.78%,0.83%
2024,Other,Acholi,Amuru,56,17,73,830,410,1240,522,467,989,424,279,703,245,350,595,31,28,59,2108,1551,3659,2077,1523,3600,1832,1173,3005,88.20%,77.02%,83.47%,1408,894,2302,67.79%,58.70%,63.94%,2.70%,1.12%,2.03%,16.85%,22.98%,16.53%,1.47%,1.81%,1.61%
2024,Other,Lango,Apac,78,30,108,681,485,1166,260,378,638,170,159,329,145,166,311,4,9,13,1338,1227,2565,1334,1218,2552,1189,1052,2241,89.13%,86.37%,87.81%,1019,893,1912,76.39%,73.32%,74.92%,5.85%,2.46%,4.23%,12.44%,13.63%,12.19%,0.30%,0.73%,0.51%
2024,Other,West Nile,Arua,292,160,452,2307,1796,4103,1018,1342,2360,636,608,1244,357,517,874,80,66,146,4690,4489,9179,4610,4423,9033,4253,3906,8159,92.26%,88.31%,90.32%,3617,3298,6915,78.46%,74.56%,76.55%,6.33%,3.62%,5.00%,11.21%,11.69%,9.68%,1.71%,1.47%,1.59%
2024,Other,Bukedi,Budaka,149,125,274,921,840,1761,804,977,1781,449,452,901,474,570,1044,31,35,66,2828,2999,5827,2797,2964,5761,2323,2394,4717,83.05%,80.77%,81.88%,1874,1942,3816,67.00%,65.52%,66.24%,5.33%,4.22%,4.76%,20.38%,19.23%,18.12%,1.10%,1.17%,1.13%
2024,Other,Elgon,Bududa,54,44,98,551,755,1306,402,577,979,231,277,508,212,246,458,20,40,60,1470,1939,3409,1450,1899,3349,1238,1653,2891,85.38%,87.05%,86.32%,1007,1376,2383,69.45%,72.46%,71.16%,3.72%,2.32%,2.93%,16.97%,12.95%,13.68%,1.36%,2.06%,1.76%
2024,Other,Busoga,Bugiri,124,78,202,1682,1728,3410,925,1164,2089,426,498,924,401,528,929,23,30,53,3581,4026,7607,3558,3996,7554,3157,3468,6625,88.73%,86.79%,87.70%,2731,2970,5701,76.76%,74.32%,75.47%,3.49%,1.95%,2.67%,14.84%,13.21%,12.30%,0.64%,0.75%,0.70%
2024,Other,Busoga,Bugweri,69,56,125,764,786,1550,440,694,1134,276,352,628,265,373,638,23,46,69,1837,2307,4144,1814,2261,4075,1549,1888,3437,85.39%,83.50%,84.34%,1273,1536,2809,70.18%,67.93%,68.93%,3.80%,2.48%,3.07%,20.56%,16.50%,15.66%,1.25%,1.99%,1.67%
2024,Other,Ankole,Buhweju,186,142,328,675,823,1498,150,195,345,33,56,89,22,24,46,8,8,16,1074,1248,2322,1066,1240,2306,1044,1216,2260,97.94%,98.06%,98.01%,1011,1160,2171,94.84%,93.55%,94.15%,17.45%,11.45%,14.22%,2.25%,1.94%,1.99%,0.74%,0.64%,0.69%
2024,Other,North Buganda,Buikwe,709,648,1357,2771,3288,6059,999,1385,2384,533,642,1175,629,684,1313,74,85,159,5715,6732,12447,5641,6647,12288,5012,5963,10975,88.85%,89.71%,89.31%,4479,5321,9800,79.40%,80.05%,79.75%,12.57%,9.75%,11.04%,12.13%,10.29%,10.69%,1.29%,1.26%,1.28%
2024,Other,Teso,Bukedea,109,65,174,1070,934,2004,673,975,1648,306,350,656,255,376,631,12,12,24,2425,2712,5137,2413,2700,5113,2158,2324,4482,89.43%,86.07%,87.66%,1852,1974,3826,76.75%,73.11%,74.83%,4.52%,2.41%,3.40%,15.58%,13.93%,12.34%,0.49%,0.44%,0.47%
2024,Other,South Buganda,Bukomansimbi,188,202,390,1001,1275,2276,389,499,888,194,230,424,127,126,253,56,54,110,1955,2386,4341,1899,2332,4231,1772,2206,3978,93.31%,94.60%,94.02%,1578,1976,3554,83.10%,84.73%,84.00%,9.90%,8.66%,9.22%,6.64%,5.40%,5.98%,2.86%,2.26%,2.53%
2024,Other,Elgon,Bukwo,7,6,13,366,391,757,360,483,843,207,271,478,163,228,391,4,10,14,1107,1389,2496,1103,1379,2482,940,1151,2091,85.22%,83.47%,84.25%,733,880,1613,66.46%,63.81%,64.99%,0.63%,0.44%,0.52%,20.67%,16.53%,15.75%,0.36%,0.72%,0.56%
2024,Other,Elgon,Bulambuli,32,25,57,407,379,786,374,498,872,181,237,418,335,419,754,24,56,80,1353,1614,2967,1329,1558,2887,994,1139,2133,74.79%,73.11%,73.88%,813,902,1715,61.17%,57.89%,59.40%,2.41%,1.60%,1.97%,31.53%,26.89%,26.12%,1.77%,3.47%,2.70%
2024,Other,Bunyoro,Buliisa,36,13,49,472,272,744,268,237,505,117,118,235,124,184,308,5,6,11,1022,830,1852,1017,824,1841,893,640,1533,87.81%,77.67%,83.27%,776,522,1298,76.30%,63.35%,70.51%,3.54%,1.58%,2.66%,18.09%,22.33%,16.73%,0.49%,0.72%,0.59%
2024,Other,Toro,Bundibugyo,307,224,531,1700,1528,3228,327,313,640,188,169,357,98,53,151,52,53,105,2672,2340,5012,2620,2287,4907,2522,2234,4756,96.26%,97.68%,96.92%,2334,2065,4399,89.08%,90.29%,89.65%,11.72%,9.79%,10.82%,2.02%,2.32%,3.08%,1.95%,2.26%,2.09%
2024,Other,Toro,Bunyangabu,416,440,856,1217,1414,2631,127,149,276,35,45,80,16,10,26,21,30,51,1832,2088,3920,1811,2058,3869,1795,2048,3843,99.12%,99.51%,99.33%,1760,2003,3763,97.18%,97.33%,97.26%,22.97%,21.38%,22.12%,0.55%,0.49%,0.67%,1.15%,1.44%,1.30%
2024,Other,Ankole,Bushenyi,846,891,1737,1791,2040,3831,301,368,669,125,88,213,40,42,82,40,59,99,3143,3488,6631,3103,3429,6532,3063,3387,6450,98.71%,98.78%,98.74%,2938,3299,6237,94.68%,96.21%,95.48%,27.26%,25.98%,26.59%,1.35%,1.22%,1.26%,1.27%,1.69%,1.49%
2024,Other,Bukedi,Busia,285,237,522,1945,2109,4054,634,906,1540,288,328,616,160,251,411,37,51,88,3349,3882,7231,3312,3831,7143,3152,3580,6732,95.17%,93.45%,94.25%,2864,3252,6116,86.47%,84.89%,85.62%,8.61%,6.19%,7.31%,7.58%,6.55%,5.75%,1.10%,1.31%,1.22%
2024,Other,Bukedi,Butaleja,113,60,173,1105,1036,2141,653,812,1465,340,389,729,302,377,679,56,88,144,2569,2762,5331,2513,2674,5187,2211,2297,4508,87.98%,85.90%,86.91%,1871,1908,3779,74.45%,71.35%,72.86%,4.50%,2.24%,3.34%,15.00%,14.10%,13.09%,2.18%,3.19%,2.70%
2024,Other,South Buganda,Butambala,148,185,333,1134,1519,2653,336,437,773,223,206,429,111,77,188,50,42,92,2002,2466,4468,1952,2424,4376,1841,2347,4188,94.31%,96.82%,95.70%,1618,2141,3759,82.89%,88.33%,85.90%,7.58%,7.63%,7.61%,3.94%,3.18%,4.30%,2.50%,1.70%,2.06%
2024,Other,Bukedi,Butebo,11,6,17,430,348,778,442,553,995,277,248,525,290,329,619,11,15,26,1461,1499,2960,1450,1484,2934,1160,1155,2315,80.00%,77.83%,78.90%,883,907,1790,60.90%,61.12%,61.01%,0.76%,0.40%,0.58%,22.69%,22.17%,21.10%,0.75%,1.00%,0.88%
2024,Other,North Buganda,Buvuma,10,6,16,190,155,345,52,94,146,21,26,47,9,15,24,7,10,17,289,306,595,282,296,578,273,281,554,96.81%,94.93%,95.85%,252,255,507,89.36%,86.15%,87.72%,3.55%,2.03%,2.77%,5.32%,5.07%,4.15%,2.42%,3.27%,2.86%
2024,Other,Busoga,Buyende,239,204,443,1493,1602,3095,611,742,1353,287,339,626,110,176,286,17,46,63,2757,3109,5866,2740,3063,5803,2630,2887,5517,95.99%,94.25%,95.07%,2343,2548,4891,85.51%,83.19%,84.28%,8.72%,6.66%,7.63%,6.42%,5.75%,4.93%,0.62%,1.48%,1.07%
2024,Other,Lango,Dokolo,69,47,116,599,456,1055,473,514,987,283,257,540,331,346,677,10,9,19,1765,1629,3394,1755,1620,3375,1424,1274,2698,81.14%,78.64%,79.94%,1141,1017,2158,65.01%,62.78%,63.94%,3.93%,2.90%,3.44%,19.72%,21.36%,20.06%,0.57%,0.55%,0.56%
2024,Other,South Buganda,Gomba,166,134,300,1369,1707,3076,354,505,859,232,232,464,188,177,365,42,63,105,2351,2818,5169,2309,2755,5064,2121,2578,4699,91.86%,93.58%,92.79%,1889,2346,4235,81.81%,85.15%,83.63%,7.19%,4.86%,5.92%,7.67%,6.42%,7.21%,1.79%,2.24%,2.03%
2024,Other,Acholi,Gulu,468,317,785,1831,1673,3504,493,777,1270,283,342,625,181,276,457,38,41,79,3294,3426,6720,3256,3385,6641,3075,3109,6184,94.44%,91.85%,93.12%,2792,2767,5559,85.75%,81.74%,83.71%,14.37%,9.36%,11.82%,8.48%,8.15%,6.88%,1.15%,1.20%,1.18%
2024,Other,Bunyoro,Hoima,415,360,775,1507,1632,3139,602,880,1482,276,375,651,328,434,762,54,65,119,3182,3746,6928,3128,3681,6809,2800,3247,6047,89.51%,88.21%,88.81%,2524,2872,5396,80.69%,78.02%,79.25%,13.27%,9.78%,11.38%,13.87%,11.79%,11.19%,1.70%,1.74%,1.72%
2024,Other,Ankole,Ibanda,567,448,1015,1776,2191,3967,238,443,681,87,115,202,34,52,86,38,46,84,2740,3295,6035,2702,3249,5951,2668,3197,5865,98.74%,98.40%,98.55%,2581,3082,5663,95.52%,94.86%,95.16%,20.98%,13.79%,17.06%,1.92%,1.60%,1.45%,1.39%,1.40%,1.39%
2024,Other,Busoga,Iganga,388,342,730,2043,2506,4549,884,1272,2156,443,611,1054,464,699,1163,50,55,105,4272,5485,9757,4222,5430,9652,3758,4731,8489,89.01%,87.13%,87.95%,3315,4120,7435,78.52%,75.87%,77.03%,9.19%,6.30%,7.56%,16.56%,12.87%,12.05%,1.17%,1.00%,1.08%
2024,FZO,Ankole,Isingiro,767,512,1279,2810,3284,6094,744,1228,1972,316,465,781,152,267,419,83,115,198,4872,5871,10743,4789,5756,10545,4637,5489,10126,96.83%,95.36%,96.03%,4321,5024,9345,90.23%,87.28%,88.62%,16.02%,8.90%,12.13%,5.58%,4.64%,3.97%,1.70%,1.96%,1.84%
2024,Other,Busoga,Jinja,684,520,1204,3120,3733,6853,1200,1587,2787,620,775,1395,475,552,1027,79,69,148,6178,7236,13414,6099,7167,13266,5624,6615,12239,92.21%,92.30%,92.26%,5004,5840,10844,82.05%,81.48%,81.74%,11.21%,7.26%,9.08%,9.05%,7.70%,7.74%,1.28%,0.95%,1.10%
2022,MZO,Karamoja,Abim,51,25,76,510,328,838,184,173,357,113,110,223,83,83,166,9,18,27,950,737,1687,941,719,1660,858,636,1494,91.18%,88.46%,90.00%,745,526,1271,79.17%,73.16%,76.57%,5.42%,3.48%,4.58%,8.82%,11.54%,10.00%,0.95%,2.44%,1.60%
2024,Other,Kigezi,Kabale,515,462,977,1222,1580,2802,320,530,850,97,133,230,36,107,143,15,30,45,2205,2842,5047,2190,2812,5002,2154,2705,4859,98.36%,96.19%,97.14%,2057,2572,4629,93.93%,91.47%,92.54%,23.52%,16.43%,19.53%,4.89%,3.81%,2.86%,0.68%,1.06%,0.89%
2024,Other,Toro,Kabarole,211,255,466,1832,2066,3898,525,766,1291,328,379,707,448,495,943,51,43,94,3395,4004,7399,3344,3961,7305,2896,3466,6362,86.60%,87.50%,87.09%,2568,3087,5655,76.79%,77.93%,77.41%,6.31%,6.44%,6.38%,14.80%,12.50%,12.91%,1.50%,1.07%,1.27%
2024,Other,Teso,Kaberamaido,19,10,29,461,313,774,314,364,678,115,84,199,70,80,150,0,1,1,979,852,1831,979,851,1830,909,771,1680,92.85%,90.60%,91.80%,794,687,1481,81.10%,80.73%,80.93%,1.94%,1.18%,1.58%,8.17%,9.40%,8.20%,0.00%,0.12%,0.05%
2024,Other,Bunyoro,Kagadi,214,161,375,1804,2209,4013,720,924,1644,281,354,635,149,195,344,58,57,115,3226,3900,7126,3168,3843,7011,3019,3648,6667,95.30%,94.93%,95.09%,2738,3294,6032,86.43%,85.71%,86.04%,6.76%,4.19%,5.35%,6.16%,5.07%,4.91%,1.80%,1.46%,1.61%
2024,Other,Bunyoro,Kakumiro,161,100,261,1161,1062,2223,452,713,1165,285,347,632,183,300,483,32,28,60,2274,2550,4824,2242,2522,4764,2059,2222,4281,91.84%,88.10%,89.86%,1774,1875,3649,79.13%,74.35%,76.60%,7.18%,3.97%,5.48%,13.38%,11.90%,10.14%,1.41%,1.10%,1.24%
2024,Other,Teso,Kalaki,12,9,21,413,306,719,395,427,822,119,136,255,92,114,206,1,0,1,1032,992,2024,1031,992,2023,939,878,1817,91.08%,88.51%,89.82%,820,742,1562,79.53%,74.80%,77.21%,1.16%,0.91%,1.04%,11.06%,11.49%,10.18%,0.10%,0.00%,0.05%
2024,Other,South Buganda,Kalangala,26,25,51,194,227,421,28,33,61,7,13,20,4,7,11,4,6,10,263,311,574,259,305,564,255,298,553,98.46%,97.70%,98.05%,248,285,533,95.75%,93.44%,94.50%,10.04%,8.20%,9.04%,2.70%,2.30%,1.95%,1.52%,1.93%,1.74%
2024,Other,Busoga,Kaliro,102,84,186,900,914,1814,638,701,1339,306,369,675,347,437,784,11,24,35,2304,2529,4833,2293,2505,4798,1946,2068,4014,84.87%,82.55%,83.66%,1640,1699,3339,71.52%,67.82%,69.59%,4.45%,3.35%,3.88%,19.06%,17.45%,16.34%,0.48%,0.95%,0.72%
2024,Other,South Buganda,Kalungu,257,314,571,1346,1930,3276,472,573,1045,202,217,419,118,103,221,55,56,111,2450,3193,5643,2395,3137,5532,2277,3034,5311,95.07%,96.72%,96.01%,2075,2817,4892,86.64%,89.80%,88.43%,10.73%,10.01%,10.32%,4.30%,3.28%,3.99%,2.24%,1.75%,1.97%
2024,KMD,Kampala,Kampala,4326,4084,8410,8006,9512,17518,1343,1958,3301,596,842,1438,519,515,1034,143,165,308,14933,17076,32009,14790,16911,31701,14271,16396,30667,96.49%,96.95%,96.74%,13675,15554,29229,92.46%,91.98%,92.20%,29.25%,24.15%,26.53%,3.48%,3.05%,3.26%,0.96%,0.97%,0.96%
2024,KMD,Busoga,Kamuli,402,357,759,2790,3363,6153,1156,1672,2828,670,815,1485,422,534,956,57,63,120,5497,6804,12301,5440,6741,12181,5018,6207,11225,92.24%,92.08%,92.15%,4348,5392,9740,79.93%,79.99%,79.96%,7.39%,5.30%,6.23%,9.82%,7.92%,7.85%,1.04%,0.93%,0.98%
2024,FZO,Toro,Kamwenge,295,195,490,1467,1554,3021,331,516,847,134,191,325,45,100,145,28,20,48,2300,2576,4876,2272,2556,4828,2227,2456,4683,98.02%,96.09%,97.00%,2093,2265,4358,92.12%,88.62%,90.27%,12.98%,7.63%,10.15%,4.40%,3.91%,3.00%,1.22%,0.78%,0.98%
2024,Other,Kigezi,Kanungu,316,258,574,1170,1376,2546,553,815,1368,180,297,477,126,217,343,23,40,63,2368,3003,5371,2345,2963,5308,2219,2746,4965,94.63%,92.68%,93.54%,2039,2449,4488,86.95%,82.65%,84.55%,13.48%,8.71%,10.81%,9.25%,7.32%,6.46%,0.97%,1.33%,1.17%
2024,Other,Elgon,Kapchorwa,106,90,196,564,561,1125,420,520,940,260,323,583,251,371,622,5,16,21,1606,1881,3487,1601,1865,3466,1350,1494,2844,84.32%,80.11%,82.05%,1090,1171,2261,68.08%,62.79%,65.23%,6.62%,4.83%,5.65%,23.17%,19.89%,17.95%,0.31%,0.85%,0.60%
2024,Other,Teso,Kapelebyong,21,1,22,405,285,690,240,335,575,105,97,202,52,98,150,4,6,10,827,822,1649,823,816,1639,771,718,1489,93.68%,87.99%,90.85%,666,621,1287,80.92%,76.10%,78.52%,2.55%,0.12%,1.34%,11.91%,12.01%,9.15%,0.48%,0.73%,0.61%
2024,MZO,Karamoja,Amudat,4,5,9,96,105,201,45,57,102,13,16,29,20,12,32,3,1,4,181,196,377,178,195,373,158,183,341,88.76%,93.85%,91.42%,145,167,312,81.46%,85.64%,83.65%,2.25%,2.56%,2.41%,6.74%,6.15%,8.58%,1.66%,0.51%,1.06%
2024,FZO,Toro,Kasese,786,694,1480,4475,4975,9450,1362,1584,2946,507,540,1047,221,258,479,101,84,185,7452,8135,15587,7351,8051,15402,7130,7793,14923,96.99%,96.80%,96.89%,6623,7253,13876,90.10%,90.09%,90.09%,10.69%,8.62%,9.61%,3.51%,3.20%,3.11%,1.36%,1.03%,1.19%
2024,Other,North Buganda,Kassanda,225,240,465,1389,1826,3215,497,661,1158,277,277,554,126,159,285,21,38,59,2535,3201,5736,2514,3163,5677,2388,3004,5392,94.99%,94.97%,94.98%,2111,2727,4838,83.97%,86.22%,85.22%,8.95%,7.59%,8.19%,6.32%,5.03%,5.02%,0.83%,1.19%,1.03%
2024,Other,Teso,Katakwi,85,42,127,759,676,1435,302,354,656,121,122,243,110,131,241,10,14,24,1387,1339,2726,1377,1325,2702,1267,1194,2461,92.01%,90.11%,91.08%,1146,1072,2218,83.22%,80.91%,82.09%,6.17%,3.17%,4.70%,9.51%,9.89%,8.92%,0.72%,1.05%,0.88%
2024,Other,North Buganda,Kayunga,273,285,558,2032,2573,4605,764,1002,1766,431,494,925,260,421,681,61,91,152,3821,4866,8687,3760,4775,8535,3500,4354,7854,93.09%,91.18%,92.02%,3069,3860,6929,81.62%,80.84%,81.18%,7.26%,5.97%,6.54%,11.20%,8.82%,7.98%,1.60%,1.87%,1.75%
2024,Other,Ankole,Kazo,306,333,639,1082,1342,2424,82,135,217,25,36,61,6,10,16,19,29,48,1520,1885,3405,1501,1856,3357,1495,1846,3341,99.60%,99.46%,99.52%,1470,1810,3280,97.93%,97.52%,97.71%,20.39%,17.94%,19.03%,0.67%,0.54%,0.48%,1.25%,1.54%,1.41%
2024,Other,Kigezi,Kibaale,102,81,183,611,682,1293,290,421,711,105,152,257,64,95,159,5,19,24,1177,1450,2627,1172,1431,2603,1108,1336,2444,94.54%,93.36%,93.89%,1003,1184,2187,85.58%,82.74%,84.02%,8.70%,5.66%,7.03%,8.11%,6.64%,6.11%,0.42%,1.31%,0.91%
2024,Other,North Buganda,Kiboga,109,86,195,679,857,1536,317,498,815,139,185,324,131,167,298,36,39,75,1411,1832,3243,1375,1793,3168,1244,1626,2870,90.47%,90.69%,90.59%,1105,1441,2546,80.36%,80.37%,80.37%,7.93%,4.80%,6.16%,12.15%,9.31%,9.41%,2.55%,2.13%,2.31%
2024,Other,Bukedi,Kibuku,58,33,91,797,747,1544,587,731,1318,454,401,855,314,379,693,16,20,36,2226,2311,4537,2210,2291,4501,1896,1912,3808,85.79%,83.46%,84.60%,1442,1511,2953,65.25%,65.95%,65.61%,2.62%,1.44%,2.02%,17.15%,16.54%,15.40%,0.72%,0.87%,0.79%
